branch,input_ng,n_rep,n_sites,mean_completeness_pct,pct_sites_in_all_reps,n_full_sites,median_CV_pct
classic,10,4,2723,62.8,33.1,900,24.4
classic,20,4,6287,60.5,30.8,1934,23.1
classic,50,4,14283,63.5,34.7,4953,22.0
classic,100,4,20530,63.9,35.1,7207,20.9
classic,200,4,28738,67.9,42.2,12133,13.6
classic,500,4,37247,69.5,44.7,16643,13.9
classic,1000,4,41110,69.6,44.7,18396,12.1
hybrid,10,4,1048,65.9,37.2,390,38.8
hybrid,20,4,2887,67.6,39.5,1139,20.7
hybrid,50,4,7827,61.4,32.2,2518,37.8
hybrid,100,4,7860,67.5,40.1,3151,23.8
hybrid,200,4,12511,70.1,43.5,5442,16.2
hybrid,500,4,17600,66.4,37.7,6629,39.0
hybrid,1000,4,19056,69.2,41.7,7941,23.8
wCleanup,10,4,1134,61.9,32.4,367,26.4
wCleanup,20,4,2409,64.5,35.0,844,23.3
wCleanup,50,4,6867,65.2,37.5,2577,29.0
wCleanup,100,4,10380,65.9,37.6,3902,24.5
wCleanup,200,4,16998,67.7,40.7,6916,16.4
wCleanup,500,4,27570,67.8,40.6,11205,18.2
wCleanup,1000,4,38835,68.2,42.1,16346,18.1
woCleanup,10,4,2366,65.6,36.8,871,19.3
woCleanup,20,4,5831,63.8,35.3,2057,16.7
woCleanup,50,4,10930,65.5,37.5,4102,19.4
woCleanup,100,4,15860,67.2,40.0,6348,14.1
woCleanup,200,4,21436,68.6,42.3,9057,13.1
woCleanup,500,4,29553,70.1,44.9,13257,16.2
woCleanup,1000,4,34288,67.3,38.7,13255,45.4
