contrast,isolates,input_ng,classI_ratio,prec_ratio,selectivity_diff_pp
classic / hybrid,enrichment (SPEC held constant),10,2.519,3.04,63.5
classic / hybrid,enrichment (SPEC held constant),20,2.001,2.657,68.4
classic / hybrid,enrichment (SPEC held constant),50,1.924,2.356,63.5
classic / hybrid,enrichment (SPEC held constant),100,2.543,3.218,63.1
classic / hybrid,enrichment (SPEC held constant),200,2.3,2.947,57.6
classic / hybrid,enrichment (SPEC held constant),500,2.272,2.704,48.1
classic / hybrid,enrichment (SPEC held constant),1000,2.233,2.725,55.5
hybrid / wCleanup,SPEC prep (enrichment held constant),10,0.963,0.743,-17.0
hybrid / wCleanup,SPEC prep (enrichment held constant),20,1.22,1.003,-7.9
hybrid / wCleanup,SPEC prep (enrichment held constant),50,1.047,0.883,-7.4
hybrid / wCleanup,SPEC prep (enrichment held constant),100,0.743,0.584,-13.0
hybrid / wCleanup,SPEC prep (enrichment held constant),200,0.726,0.585,-4.7
hybrid / wCleanup,SPEC prep (enrichment held constant),500,0.606,0.511,-22.8
hybrid / wCleanup,SPEC prep (enrichment held constant),1000,0.485,0.381,-40.1
wCleanup / woCleanup,cleanup effect (SDB-RPS / SpeedVac),10,0.459,0.462,-40.0
wCleanup / woCleanup,cleanup effect (SDB-RPS / SpeedVac),20,0.422,0.383,-30.1
wCleanup / woCleanup,cleanup effect (SDB-RPS / SpeedVac),50,0.628,0.609,-10.2
wCleanup / woCleanup,cleanup effect (SDB-RPS / SpeedVac),100,0.646,0.642,-8.1
wCleanup / woCleanup,cleanup effect (SDB-RPS / SpeedVac),200,0.781,0.765,-6.6
wCleanup / woCleanup,cleanup effect (SDB-RPS / SpeedVac),500,0.896,0.895,14.6
wCleanup / woCleanup,cleanup effect (SDB-RPS / SpeedVac),1000,1.172,1.288,25.4
classic / wCleanup,full nanoPhos vs standard conventional workflow,10,2.424,2.259,46.5
classic / wCleanup,full nanoPhos vs standard conventional workflow,20,2.441,2.666,60.6
classic / wCleanup,full nanoPhos vs standard conventional workflow,50,2.014,2.079,56.2
classic / wCleanup,full nanoPhos vs standard conventional workflow,100,1.89,1.881,50.2
classic / wCleanup,full nanoPhos vs standard conventional workflow,200,1.67,1.725,52.9
classic / wCleanup,full nanoPhos vs standard conventional workflow,500,1.376,1.382,25.3
classic / wCleanup,full nanoPhos vs standard conventional workflow,1000,1.082,1.039,15.4
