branch,input_ng,run,well,classI_sites,phosphoprecursors,total_precursors,phospho_selectivity_pct
classic,10,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_10ng_B8,B8,1688,5130,6282,81.7
classic,10,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_10ng_C8,C8,1636,5034,6292,80.0
classic,10,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_10ng_D8,D8,1563,4985,6206,80.3
classic,10,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_10ng_E8,E8,1780,5230,6458,81.0
classic,20,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_20ng_B7,B7,3495,12832,13963,91.9
classic,20,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_20ng_C7,C7,3496,13010,14149,91.9
classic,20,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_20ng_D7,D7,4213,13728,14870,92.3
classic,20,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_20ng_E7,E7,3505,13023,14146,92.1
classic,50,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_50ng_B6,B6,8920,31018,33004,94.0
classic,50,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_50ng_C6,C6,8025,29600,31172,95.0
classic,50,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_50ng_D6,D6,8084,29830,31554,94.5
classic,50,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_50ng_E6,E6,9298,31136,32859,94.8
classic,100,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_100ng_B5,B5,11231,40873,46588,87.7
classic,100,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_100ng_C5,C5,13125,44354,50780,87.3
classic,100,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_100ng_D5,D5,11408,40855,43758,93.4
classic,100,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_100ng_E5,E5,13291,44694,51711,86.4
classic,200,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_200ng_B4,B4,17650,63069,68301,92.3
classic,200,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_200ng_C4,C4,18159,63855,69085,92.4
classic,200,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_200ng_D4,D4,17825,63497,67810,93.6
classic,200,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_200ng_E4,E4,18065,63752,68959,92.4
classic,500,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_500ng_B3,B3,23331,82036,97645,84.0
classic,500,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_500ng_C3,C3,23433,82206,100055,82.2
classic,500,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_500ng_D3,D3,23016,81441,96639,84.3
classic,500,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_500ng_E3,E3,23425,82328,97979,84.0
classic,1000,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_1000ng_B2,B2,25291,91505,104552,87.5
classic,1000,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_1000ng_C2,C2,25693,92297,108912,84.7
classic,1000,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_1000ng_D2,D2,25601,92187,107442,85.8
classic,1000,20260717_OA3_Eno13_Whisper80_SA_DeOl_nanoPhos_original_1000ng_E2,E2,25612,92967,109137,85.2
hybrid,10,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_10ng_B8,B8,637,1650,8811,18.7
hybrid,10,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_10ng_C8,C8,607,1495,8864,16.9
hybrid,10,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_10ng_D8,D8,721,1778,10396,17.1
hybrid,10,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_10ng_E8,E8,682,1780,10847,16.4
hybrid,20,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_20ng_B7,B7,1873,4993,20722,24.1
hybrid,20,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_20ng_C7,C7,1889,5036,21479,23.4
hybrid,20,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_20ng_D7,D7,1798,4862,20401,23.8
hybrid,20,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_20ng_E7,E7,1792,4903,21172,23.2
hybrid,50,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_50ng_B6,B6,4139,12568,42269,29.7
hybrid,50,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_50ng_C6,C6,5387,14892,44690,33.3
hybrid,50,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_50ng_D6,D6,4208,12111,37947,31.9
hybrid,50,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_50ng_E6,E6,4111,12038,41117,29.3
hybrid,100,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_100ng_B5,B5,4994,13537,52520,25.8
hybrid,100,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_100ng_C5,C5,4810,13295,53050,25.1
hybrid,100,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_100ng_D5,D5,4773,13220,53621,24.7
hybrid,100,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_100ng_E5,E5,4717,13010,48687,26.7
hybrid,200,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_200ng_B4,B4,7682,21481,59954,35.8
hybrid,200,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_200ng_C4,C4,7966,21695,60554,35.8
hybrid,200,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_200ng_D4,D4,7705,21542,63207,34.1
hybrid,200,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_200ng_E4,E4,7822,21538,62451,34.5
hybrid,500,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_500ng_B3,B3,10915,32502,86260,37.7
hybrid,500,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_500ng_C3,C3,11182,33004,89403,36.9
hybrid,500,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_500ng_D3,D3,9670,28251,83417,33.9
hybrid,500,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_500ng_E3,E3,9255,27563,82162,33.5
hybrid,1000,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_1000ng_B2,B2,11608,34351,110578,31.1
hybrid,1000,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_1000ng_C2,C2,11980,34994,110703,31.6
hybrid,1000,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_1000ng_D2,D2,11649,34309,109880,31.2
hybrid,1000,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_SPEC_and_agilent_enrichment_1000ng_E2,E2,10530,31747,116309,27.3
wCleanup,10,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_wCleanUp_10ng_A7,A7,675,2181,5404,40.4
wCleanup,10,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_wCleanUp_10ng_B7,B7,593,2069,4848,42.7
wCleanup,10,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_wCleanUp_10ng_C7,C7,741,2406,8934,26.9
wCleanup,10,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_wCleanUp_10ng_D7,D7,741,2367,8750,27.1
wCleanup,20,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_wCleanUp_20ng_A6,A6,1525,4935,15376,32.1
wCleanup,20,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_wCleanUp_20ng_B6,B6,1436,4685,12323,38.0
wCleanup,20,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_wCleanUp_20ng_C6,C6,1605,5150,20161,25.5
wCleanup,20,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_wCleanUp_20ng_D6,D6,1461,4959,16316,30.4
wCleanup,50,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_wCleanUp_50ng_A5,A5,4258,14655,37752,38.8
wCleanup,50,20260717_OA3_Eno13_Whisper80_SA_DeOl_enrichment_wCleanUp_50ng_B5,B5,4343,14705,39006,37.7
