branch,input_ng,mean_completeness_pct,pct_sites_in_all_reps,median_CV_pct,loc_median,loc_pct_ge90,phospho_sum_mean,gravy_pct_hydrophobic
classic,10,62.8,33.1,24.4,0.333,37.5,1000353.865711391,10.0
classic,20,60.5,30.8,23.1,0.2,31.9,2735658.060077846,10.0
classic,50,63.5,34.7,22.0,0.167,34.0,10471606.49534458,10.8
classic,100,63.9,35.1,20.9,0.161,35.7,21038361.484058976,11.5
classic,200,67.9,42.2,13.6,0.128,38.1,63424667.987959445,11.5
classic,500,69.5,44.7,13.9,0.113,39.4,139606386.04591215,12.7
classic,1000,69.6,44.7,12.1,0.114,39.8,213590797.2580501,12.8
hybrid,10,65.9,37.2,38.8,0.447,41.6,400324.7702594996,7.0
hybrid,20,67.6,39.5,20.7,0.334,40.1,1689603.4575338662,6.4
hybrid,50,61.4,32.2,37.8,0.249,39.2,5320961.906785727,7.3
hybrid,100,67.5,40.1,23.8,0.25,40.2,7680370.40182355,6.1
hybrid,200,70.1,43.5,16.2,0.245,41.9,20116686.2269038,6.5
hybrid,500,66.4,37.7,39.0,0.185,41.1,41043675.391693294,7.3
hybrid,1000,69.2,41.7,23.8,0.194,42.4,67395818.00556374,7.6
wCleanup,10,61.9,32.4,26.4,0.2,36.4,549078.6722653508,8.2
wCleanup,20,64.5,35.0,23.3,0.227,37.4,1401490.321176529,7.1
wCleanup,50,65.2,37.5,29.0,0.168,38.2,6420548.54292959,7.7
wCleanup,100,65.9,37.6,24.5,0.151,38.3,13173035.315098852,7.9
wCleanup,200,67.7,40.7,16.4,0.158,40.8,39591076.18678474,8.9
wCleanup,500,67.8,40.6,18.2,0.152,40.8,93441894.81866784,10.1
wCleanup,1000,68.2,42.1,18.1,0.06,38.8,223347814.84175557,10.7
woCleanup,10,65.6,36.8,19.3,0.26,39.1,1625814.586389035,7.6
woCleanup,20,63.8,35.3,16.7,0.148,36.6,4701667.164583474,7.7
woCleanup,50,65.5,37.5,19.4,0.121,38.6,14803373.30915326,8.5
woCleanup,100,67.2,40.0,14.1,0.117,39.8,33873838.739664525,9.0
woCleanup,200,68.6,42.3,13.1,0.125,41.0,70368217.07332888,9.8
woCleanup,500,70.1,44.9,16.2,0.2,42.5,169652485.79489064,11.0
woCleanup,1000,67.3,38.7,45.4,0.234,42.7,203218703.07634792,11.4
