branch,input_ng,rt_bin,phospho_sum_mean
classic,10,4.25,4907.526365488768
classic,10,4.75,67556.60844409466
classic,10,5.25,143709.06441795826
classic,10,5.75,106604.4397034049
classic,10,6.25,41921.6466563642
classic,10,6.75,54581.66610229015
classic,10,7.25,28518.37026873231
classic,10,7.75,44683.1352699399
classic,10,8.25,22550.594055593014
classic,10,8.75,31807.35418367386
classic,10,9.25,57333.2397004962
classic,10,9.75,46278.00079271197
classic,10,10.25,35670.84332212806
classic,10,10.75,25442.883387506008
classic,10,11.25,33092.85683748126
classic,10,11.75,37891.983278393745
classic,10,12.25,77754.3921481967
classic,10,12.75,75490.29088622332
classic,10,13.25,39405.56285107136
classic,10,13.75,15911.145082473755
classic,10,14.25,8848.186543941498
classic,10,14.75,394.0754132270813
classic,20,4.25,15836.45027512312
classic,20,4.75,178901.19740864635
classic,20,5.25,362362.1814851463
classic,20,5.75,277810.763104558
classic,20,6.25,166638.64992910624
classic,20,6.75,184413.8946417868
classic,20,7.25,98784.76667681336
classic,20,7.75,124709.80651909113
classic,20,8.25,82596.8912885189
classic,20,8.75,111674.07349455357
classic,20,9.25,132141.99851551652
classic,20,9.75,107061.36095941067
classic,20,10.25,75760.61734881997
classic,20,10.75,76445.02450481057
classic,20,11.25,78694.6742053926
classic,20,11.75,86433.02010023594
classic,20,12.25,172074.10259526968
classic,20,12.75,194130.775916636
classic,20,13.25,111675.35013011098
classic,20,13.75,60303.277465462685
classic,20,14.25,34378.925620526075
classic,20,14.75,2742.0480195879936
classic,20,15.25,88.20987272262573
classic,50,4.25,129066.83475473523
classic,50,4.75,700684.6703905463
classic,50,5.25,1247111.3451435268
classic,50,5.75,978759.6067879498
classic,50,6.25,543632.8411771357
classic,50,6.75,737827.7849693298
classic,50,7.25,452306.247874856
classic,50,7.75,494336.7734499872
classic,50,8.25,405420.74386766553
classic,50,8.75,464241.1259598434
classic,50,9.25,520165.21223446727
classic,50,9.75,512207.51000157
classic,50,10.25,393504.4406581521
classic,50,10.75,329814.7563486397
classic,50,11.25,331717.4179806709
classic,50,11.75,382134.24243322015
classic,50,12.25,553445.0891360939
classic,50,12.75,559302.5860540569
classic,50,13.25,395104.907708019
classic,50,13.75,231485.46090608835
classic,50,14.25,89178.46492487192
classic,50,14.75,18224.472614467144
classic,50,15.25,1933.2647858262062
classic,100,4.25,93996.85658320785
classic,100,4.75,932916.4177690744
classic,100,5.25,2136216.7515043616
classic,100,5.75,1800582.1885803044
classic,100,6.25,1159609.1166674793
classic,100,6.75,1410584.0983471572
classic,100,7.25,924141.3395942152
classic,100,7.75,1150167.1229017675
classic,100,8.25,958966.990757674
classic,100,8.75,971674.9167333841
classic,100,9.25,1075712.7210542858
classic,100,9.75,1162987.5610454082
classic,100,10.25,860574.533161372
classic,100,10.75,786098.8160099685
classic,100,11.25,697799.4832234681
classic,100,11.75,900220.3773595095
classic,100,12.25,1089579.6695568562
classic,100,12.75,1220242.2304058075
classic,100,13.25,946517.5689511001
classic,100,13.75,526468.7676232457
classic,100,14.25,191235.9337940514
classic,100,14.75,37835.818088799715
classic,100,15.25,4232.204346477985
classic,200,4.25,346858.55685552955
classic,200,4.75,2428862.8782298565
classic,200,5.25,5083599.951286912
classic,200,5.75,3550611.368317902
classic,200,6.25,3907888.971263826
classic,200,6.75,5516444.314521372
classic,200,7.25,3893083.234114915
classic,200,7.75,4498387.99879843
classic,200,8.25,3925605.3584150076
classic,200,8.75,3990681.4294812083
classic,200,9.25,3657021.6567215323
classic,200,9.75,4173721.8649037182
classic,200,10.25,2852605.5272190273
classic,200,10.75,2571781.048015982
classic,200,11.25,2342986.706868291
