branch,input_ng,phospho_sum_mean,phospho_sum_sd,phospho_median_int_mean,dynrange_log10_p5_95,loc_median,loc_pct_ge90,gravy_median,gravy_pct_hydrophobic
classic,10,1000353.865711391,37840.768781268394,55.22134780883789,1.924,0.333,37.5,-0.756,10.0
classic,20,2735658.060077846,99125.68318584851,50.031681537628174,2.012,0.2,31.9,-0.755,10.0
classic,50,10471606.49534458,264486.7760047204,72.01397800445557,2.036,0.167,34.0,-0.743,10.8
classic,100,21038361.484058976,781010.7886683156,93.606125831604,2.094,0.161,35.7,-0.722,11.5
classic,200,63424667.987959445,772036.5955236501,167.21313667297363,2.158,0.128,38.1,-0.729,11.5
classic,500,139606386.04591215,1801860.9727689316,256.2053279876709,2.278,0.113,39.4,-0.703,12.7
classic,1000,213590797.25805014,2025453.160846426,322.7187080383301,2.346,0.114,39.8,-0.695,12.8
hybrid,10,400324.77025949955,27321.457527602615,69.07497119903564,1.903,0.447,41.6,-0.908,7.0
hybrid,20,1689603.4575338662,42505.07957627931,85.96497535705566,1.947,0.334,40.1,-0.912,6.4
hybrid,50,5320961.906785727,556344.6402341156,92.16310691833496,2.037,0.249,39.2,-0.856,7.3
hybrid,100,7680370.40182355,447914.9546990251,131.75352096557617,2.066,0.25,40.2,-0.93,6.1
hybrid,200,20116686.226903796,405399.13211537484,207.38283348083496,2.057,0.245,41.9,-0.921,6.5
hybrid,500,41043675.391693294,2677675.736214259,257.5081367492676,2.205,0.185,41.1,-0.875,7.3
hybrid,1000,67395818.00556374,8642292.958216507,381.1272277832031,2.24,0.194,42.4,-0.867,7.6
wCleanup,10,549078.6722653508,65647.53926443582,70.2888355255127,1.76,0.2,36.4,-0.767,8.2
wCleanup,20,1401490.321176529,27108.649620672815,80.02759552001953,1.82,0.227,37.4,-0.823,7.1
wCleanup,50,6420548.54292959,794150.4627097151,121.96113967895508,1.789,0.168,38.2,-0.806,7.7
wCleanup,100,13173035.315098852,1020611.5027998039,144.47819328308105,1.874,0.151,38.3,-0.8,7.9
wCleanup,200,39591076.186784744,402336.8312333459,220.75448417663574,2.068,0.158,40.8,-0.781,8.9
wCleanup,500,93441894.81866783,980730.4543923407,265.2167625427246,2.206,0.152,40.8,-0.75,10.1
wCleanup,1000,223347814.84175554,1269198.9294885534,364.7210578918457,2.312,0.06,38.8,-0.746,10.7
woCleanup,10,1625814.586389035,37714.23992898072,86.1172513961792,1.862,0.26,39.1,-0.82,7.6
woCleanup,20,4701667.164583474,98174.13628403003,91.5224838256836,1.851,0.148,36.6,-0.803,7.7
woCleanup,50,14803373.309153259,355403.64757134457,139.94605827331543,1.93,0.121,38.6,-0.8,8.5
woCleanup,100,33873838.739664525,330323.1529723203,201.59284782409668,2.016,0.117,39.8,-0.8,9.0
woCleanup,200,70368217.07332888,883145.3131780389,270.6698417663574,2.096,0.125,41.0,-0.776,9.8
woCleanup,500,169652485.79489064,2072215.187243534,412.4021110534668,2.28,0.2,42.5,-0.753,11.0
woCleanup,1000,203218703.07634792,15159017.344247812,443.4662666320801,2.349,0.234,42.7,-0.754,11.4
