branch,input_ng,n,classI_mean,classI_sd,prec_mean,prec_sd,selectivity_mean
classic,10,4.0,1666.8,91.3,5094.8,108.4,80.8
classic,20,4.0,3677.2,357.2,13148.2,396.2,92.1
classic,50,4.0,8581.8,628.5,30396.0,793.4,94.6
classic,100,4.0,12263.8,1094.8,42694.0,2117.7,88.7
classic,200,4.0,17924.8,230.9,63543.2,350.2,92.7
classic,500,4.0,23301.2,195.7,82002.8,393.2,83.6
classic,1000,4.0,25549.2,177.0,92239.0,598.6,85.8
hybrid,10,4.0,661.8,50.1,1675.8,135.0,17.3
hybrid,20,4.0,1838.0,50.1,4948.5,80.0,23.6
hybrid,50,4.0,4461.2,618.5,12902.2,1347.1,31.0
hybrid,100,4.0,4823.5,119.9,13265.5,217.5,25.6
hybrid,200,4.0,7793.8,130.2,21564.0,91.7,35.0
hybrid,500,4.0,10255.5,937.6,30330.0,2819.4,35.5
hybrid,1000,4.0,11441.8,630.2,33850.2,1436.8,30.3
wCleanup,10,4.0,687.5,70.3,2255.8,158.6,34.3
wCleanup,20,4.0,1506.8,75.5,4932.2,190.8,31.5
wCleanup,50,4.0,4261.2,144.8,14619.8,227.0,38.4
wCleanup,100,4.0,6489.2,289.9,22700.2,615.0,38.6
wCleanup,200,4.0,10730.2,177.4,36843.2,256.7,39.8
wCleanup,500,4.0,16930.5,629.0,59316.2,1225.5,58.3
wCleanup,1000,4.0,23611.8,156.5,88785.2,806.5,70.4
woCleanup,10,4.0,1498.2,31.7,4883.8,43.3,74.2
woCleanup,20,4.0,3568.0,96.3,12884.8,213.1,61.6
woCleanup,50,4.0,6785.0,77.2,23987.0,372.2,48.7
woCleanup,100,4.0,10041.8,58.0,35350.8,191.7,46.7
woCleanup,200,4.0,13744.2,115.8,48139.0,163.5,46.4
woCleanup,500,4.0,18897.0,41.1,66266.2,113.0,43.8
woCleanup,1000,4.0,20154.5,1499.0,68936.8,4854.4,45.0
