UniProt	KEGG name
#!{Type}	Categorical
Q60888;B9EJ08;Q7TRA8;Q8VEP7	Olfactory transduction
Q8VBW9	Olfactory transduction
Q60885;Q8VGC0	Olfactory transduction
P68510;P11576;P70198;Q3TGZ9	Cell cycle;Oocyte meiosis;Neurotrophin signaling pathway
P68254;P35216;Q3TW69;Q3UJN5;Q5SP76;Q5U423;Q66JR6	Cell cycle;Oocyte meiosis;Neurotrophin signaling pathway
Q9CQV8;O70455;Q3TY33;Q3UAN6	Cell cycle;Oocyte meiosis;Neurotrophin signaling pathway
P61982;O70457;P35214;Q3UFD6;Q4FK44;Q9UDP2;Q9UN99	Cell cycle;Oocyte meiosis;Neurotrophin signaling pathway
Q60996;O35708;Q6TQF7;Q99KW8;Q99N67;Q99N68	mRNA surveillance pathway;Meiosis - yeast;Oocyte meiosis;Wnt signaling pathway
P63101;P35215;P70197;P97286;Q3TSF1;Q5EBQ1	Cell cycle;Oocyte meiosis;Neurotrophin signaling pathway
Q925E7;Q6ZPN5	mRNA surveillance pathway;Cell cycle - yeast;Tight junction;Chagas disease (American trypanosomiasis);Hepatitis C
Q7TNP2;E9QNJ1	mRNA surveillance pathway;Cell cycle - yeast;Meiosis - yeast;Oocyte meiosis;Wnt signaling pathway;TGF-beta signaling pathway;Tight junction;Long-term depression;Chagas disease (American trypanosomiasis);Hepatitis C
P62259;P29360;P42655;Q63631	Cell cycle;Oocyte meiosis;Neurotrophin signaling pathway
Q6PD03;Q8R1U7	mRNA surveillance pathway;Meiosis - yeast;Oocyte meiosis;Wnt signaling pathway
Q8BG02	mRNA surveillance pathway;Cell cycle - yeast;Tight junction;Chagas disease (American trypanosomiasis);Hepatitis C
Q6PD28;Q3V3S8;Q8R342	mRNA surveillance pathway;Meiosis - yeast;Oocyte meiosis;Wnt signaling pathway
O70456;Q3TEZ1	Cell cycle;p53 signaling pathway;Aldosterone-regulated sodium reabsorption
Q6ZWR4;Q3UF60;Q8K413;Q9D3B7;Q9D6I1	mRNA surveillance pathway;Cell cycle - yeast;Tight junction;Chagas disease (American trypanosomiasis);Hepatitis C
Q6P1F6	mRNA surveillance pathway;Cell cycle - yeast;Tight junction;Chagas disease (American trypanosomiasis);Hepatitis C
Q61767	Steroid hormone biosynthesis
Q76MZ3	mRNA surveillance pathway;Cell cycle - yeast;Meiosis - yeast;Oocyte meiosis;Wnt signaling pathway;TGF-beta signaling pathway;Tight junction;Long-term depression;Chagas disease (American trypanosomiasis);Hepatitis C
Q61151;Q3V1I5;Q571M6;Q8C2M2	mRNA surveillance pathway;Meiosis - yeast;Oocyte meiosis;Wnt signaling pathway
Q61694;Q91X27	Steroid hormone biosynthesis
O35469;Q3UQN7	Steroid hormone biosynthesis
P24815;Q7TQ00	Steroid hormone biosynthesis
Q78JT3;Q52L88	Tryptophan metabolism
Q9EQC1;A2RTR5	Primary bile acid biosynthesis
Q99L13;Q8BJY2	Valine, leucine and isoleucine degradation
P26149;B1ARN7;Q8R0J6	Steroid hormone biosynthesis
Q04841;A2AVE7;Q64182	Base excision repair
P10852;G3UWA6;Q54AH5	Protein digestion and absorption
Q6W049;E9PVA1	Olfactory transduction
Q60876;Q3TDS8;Q9CZ40	RNA transport;ErbB signaling pathway;mTOR signaling pathway;Insulin signaling pathway;Acute myeloid leukemia
P32304;Q14A50	Calcium signaling pathway;Neuroactive ligand-receptor interaction
Q02284	Neuroactive ligand-receptor interaction
P28334	Neuroactive ligand-receptor interaction
Q64264;Q60956;Q61617;Q8BGS4	Neuroactive ligand-receptor interaction
P97288;O89003;O89004;Q3URB5;Q9R2A4	Calcium signaling pathway;Neuroactive ligand-receptor interaction
Q02152;Q8JZK5;Q9QWS2	Calcium signaling pathway;Neuroactive ligand-receptor interaction;Gap junction
P30966;Q3URB0	Calcium signaling pathway;Neuroactive ligand-receptor interaction
Q61503;Q3U3S1	Purine metabolism;Pyrimidine metabolism;Nicotinate and nicotinamide metabolism
A3KFX0;B2RVQ9	Purine metabolism;Pyrimidine metabolism;Nicotinate and nicotinamide metabolism
Q91YE9;E9QNH2;Q91Y48	Purine metabolism;Pyrimidine metabolism;Nicotinate and nicotinamide metabolism
Q61224;Q3ZB48;Q61615;Q8BUW7	Neuroactive ligand-receptor interaction
P35363	Calcium signaling pathway;Neuroactive ligand-receptor interaction;Gap junction
P34968;B1ATN5;Q5WRU6	Calcium signaling pathway;Neuroactive ligand-receptor interaction;Gap junction
Q9D020;Q8CI05;Q9D0D9	Purine metabolism;Pyrimidine metabolism;Nicotinate and nicotinamide metabolism
Q3V1L4;Q6P223;Q8BZ43;Q9D8G6	Purine metabolism;Pyrimidine metabolism;Nicotinate and nicotinamide metabolism
Q9DCD0;Q3UD80	Pentose phosphate pathway;Glutathione metabolism
Q9CQ60;Q3TA62	Pentose phosphate pathway
P07758;Q3UJ47;Q80YB8;Q8JZV6;Q91XB8	Complement and coagulation cascades
P22599;Q61283;Q80ZH5;Q8VC20	Complement and coagulation cascades
Q00896;P81105;Q91V74;Q91WH5;Q91XC1	Complement and coagulation cascades
Q00897	Complement and coagulation cascades
Q00898;Q3UJ83;Q545P1	Complement and coagulation cascades
Q6GQT1;E9QMQ7;Q811S0	Complement and coagulation cascades
Q67BJ4	Glycosphingolipid biosynthesis - globo series
Q61247	Complement and coagulation cascades
Q60612;Q8BGU7;Q9WUF9	Neuroactive ligand-receptor interaction
Q60613;Q2NLC1	Calcium signaling pathway;Neuroactive ligand-receptor interaction;Vascular smooth muscle contraction
Q9D2R0;A1IG47;Q3TCL8;Q3UD39	Butanoate metabolism
P58742;Q544M6	RNA transport
Q9WVM8	Lysine biosynthesis;Lysine degradation;Tryptophan metabolism
Q60614;Q8BXI2	Calcium signaling pathway;Neuroactive ligand-receptor interaction;Vascular smooth muscle contraction
P12023;P97487;P97942;Q99K32	Alzheimer's disease
Q8BGM7;Q0VG42;Q80WK8;Q8CJ41	Insulin signaling pathway;Adipocytokine signaling pathway;Hypertrophic cardiomyopathy (HCM)
Q9R078;Q91YN6	Insulin signaling pathway;Adipocytokine signaling pathway;Hypertrophic cardiomyopathy (HCM)
Q5EG47	Regulation of autophagy;mTOR signaling pathway;Insulin signaling pathway;Adipocytokine signaling pathway;Hypertrophic cardiomyopathy (HCM)
Q6PAM0	Insulin signaling pathway;Adipocytokine signaling pathway;Hypertrophic cardiomyopathy (HCM)
O54950;Q5PRE8	Insulin signaling pathway;Adipocytokine signaling pathway;Hypertrophic cardiomyopathy (HCM)
Q99K67;Q9Z1I9	Lysine biosynthesis;Lysine degradation
P05201;Q3UJH8	Alanine, aspartate and glutamate metabolism;Cysteine and methionine metabolism;Arginine and proline metabolism;Tyrosine metabolism;Phenylalanine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis
Q8BRK8;B1ASQ8;Q3UYM4	Regulation of autophagy;mTOR signaling pathway;Insulin signaling pathway;Adipocytokine signaling pathway;Hypertrophic cardiomyopathy (HCM)
Q91WG5;E9QK80;Q6V7V5	Insulin signaling pathway;Adipocytokine signaling pathway;Hypertrophic cardiomyopathy (HCM)
P05202;O09188;Q3TIP6;Q3UD91;Q5HZH5	Alanine, aspartate and glutamate metabolism;Cysteine and methionine metabolism;Arginine and proline metabolism;Tyrosine metabolism;Phenylalanine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Fat digestion and absorption
P70170;O08902;O08920;P70171	ABC transporters
Q8K442;A2AB96;Q6PAV3;Q8C0A9;Q8R0R4	ABC transporters
Q8R420;Q3U3L4	ABC transporters
Q9JI39;Q542P7;Q9D0C7	ABC transporters
Q8K440;A2AM55;Q69ZY4;Q8BRQ1;Q9JL38	ABC transporters
Q8K449;A2A6R5;Q8C114	ABC transporters
B5X0E4;W5QLL5	ABC transporters
P55096	ABC transporters;Peroxisome
Q91WA9;Q8K4E1;Q8VBS9	ABC transporters
O89016;E9QKU3	ABC transporters;Peroxisome
E9Q876	ABC transporters
Q9QY30;A2AUN4;Q9QZE8	ABC transporters;Bile secretion
Q64343	ABC transporters
Q99PE8;Q540E8	ABC transporters;Fat digestion and absorption;Bile secretion
Q9DC29;Q3U7N5;Q3UAZ6	ABC transporters
P41233;B1AWZ8	ABC transporters;Fat digestion and absorption
Q5SSE9;Q80T20;Q8BHZ2;Q8CB91	ABC transporters
P48410;Q9QY41;Q9QZ32	ABC transporters;Peroxisome
O35600	ABC transporters
Q9DBM0;Q8R543	ABC transporters;Fat digestion and absorption;Bile secretion
Q8K448;Q3TE17;Q3UUB4;Q6P1Y0;Q6ZPG4;Q810C7;Q8BM46;Q8BXG7	ABC transporters
Q61285;A0A0R4J0U5;Q8BQ63;Q8C4B6	ABC transporters;Peroxisome
Q7TMS5;Q9R004;Q9Z1T0	ABC transporters;Bile secretion
Q61102;A2AC46;Q3U7S8	ABC transporters
Q8K441;A2A6R3;Q8BGH0;Q8BPT1	ABC transporters
Q99P81;Q8BKI5	ABC transporters
P51908;Q99L67	Atrazine degradation
Q9JJ59;Q8CHA1;Q9D212;Q9JIN1	ABC transporters;Lysosome
Q91V24;Q9JL36	ABC transporters
Q9WV35	Atrazine degradation
Q69ZX8;Q52KR1;Q6PAI7	Axon guidance
Q8K4G5;Q80U86;Q8BIR9;Q8K4G3;Q8K4G4	Axon guidance
P00520;P97896;Q61252;Q61253;Q61254;Q61255;Q61256;Q61257;Q61258;Q61259;Q61260;Q61261;Q6PCM5;Q8C1X4	ErbB signaling pathway;Cell cycle;Axon guidance;Neurotrophin signaling pathway;Pathogenic Escherichia coli infection;Shigellosis;Pathways in cancer;Chronic myeloid leukemia;Viral myocarditis
Q8BL65;B2RUF8;Q6H8P8;Q80WK6;Q8BUT1;Q8BXI7	Axon guidance
P62484;Q6PHU3	Regulation of actin cytoskeleton
Q8K2H4;Q3U441;Q571H6	Endocytosis
Q2XU92	Fatty acid metabolism;PPAR signaling pathway;Peroxisome;Adipocytokine signaling pathway
P45952;Q64235	Fatty acid metabolism;Valine, leucine and isoleucine degradation;beta-Alanine metabolism;Propanoate metabolism;PPAR signaling pathway
Q6ZQK5;Q3UHL4;Q811F3;Q9CTS8	Endocytosis
Q9D7B6;Q8BK36;Q8BKQ8;Q8CFY9;Q9D2L8	Valine, leucine and isoleucine degradation
Q8JZN5;Q3ULL9;Q8BK76;Q8C0B5	Geraniol degradation;Naphthalene degradation
Q07417;Q91W85	Fatty acid metabolism;Valine, leucine and isoleucine degradation;Butanoate metabolism
Q99J27;Q9WTN1	Glycosphingolipid biosynthesis - ganglio series
Q5SWU9;A2A6H4;Q5SWU6;Q5SWU7;Q5SWU8;Q6JIZ1;Q6PHL9;Q705X8;Q705X9;Q91VC8;Q925C4;Q925C5	Fatty acid biosynthesis;Pyruvate metabolism;Propanoate metabolism;Insulin signaling pathway
P51174;B2KGC6;O35302;Q8QZR6;Q9CU29;Q9DB83	Fatty acid metabolism;PPAR signaling pathway
P31786	PPAR signaling pathway
P50544;O35289;O55133	Fatty acid metabolism
E9Q4Z2;Q6JIZ0	Fatty acid biosynthesis;Pyruvate metabolism;Propanoate metabolism;Insulin signaling pathway
Q9DBL1	Fatty acid metabolism;Valine, leucine and isoleucine degradation
Q8R4G9;Q8BV44	Neuroactive ligand-receptor interaction
Q8R4X1;A1L3S2	Sphingolipid metabolism
Q8R0I0;Q99N70;Q99N71	Renin-angiotensin system;Protein digestion and absorption
Q8VD53;Q6PB92;Q8BUG3	Sphingolipid metabolism
O70174;Q8BHE9;Q8VI10;Q9ET51	Neuroactive ligand-receptor interaction
P21836	Glycerophospholipid metabolism
P49582	Calcium signaling pathway;Neuroactive ligand-receptor interaction
Q9D099;Q542R2;Q9D0X4;Q9D3J4	Sphingolipid metabolism
Q91X60	Neuroactive ligand-receptor interaction
P20782	Neuroactive ligand-receptor interaction
Q9ERK7;Q8BGP7	Neuroactive ligand-receptor interaction
Q2MKA5;Q6PW45	Neuroactive ligand-receptor interaction
P09690;Q5F292	Neuroactive ligand-receptor interaction
Q8BMN3;Q8R5H3;Q9CYK8	Neuroactive ligand-receptor interaction
Q9R0W9;Q3UEY4;Q8K0A7	Neuroactive ligand-receptor interaction
P09470;P22967;Q6GTS2	Renin-angiotensin system;Chagas disease (American trypanosomiasis);Hypertrophic cardiomyopathy (HCM)
P02716;Q61267	Neuroactive ligand-receptor interaction
Q8R493;Q8VI06	Neuroactive ligand-receptor interaction
P04756	Neuroactive ligand-receptor interaction
Q9JIX8;B8JJ87;Q9CSN7;Q9CSR9;Q9CSX7;Q9R046;Q9R047	RNA transport;mRNA surveillance pathway;Spliceosome
Q9QUI6;O35970;Q91VB6;Q920X0;Q920X1;Q920X2;Q920X3	Malaria
Q9ERZ4;E9Q9P0	Calcium signaling pathway;Neuroactive ligand-receptor interaction;Regulation of actin cytoskeleton
Q920H4;A2AHU3;Q0VBI9	Calcium signaling pathway;Neuroactive ligand-receptor interaction;Regulation of actin cytoskeleton
Q91V92	Citrate cycle (TCA cycle);Carbon fixation pathways in prokaryotes
P56485;Q91WI0	Cytokine-cytokine receptor interaction
Q9ERZ3;Q64055	Calcium signaling pathway;Neuroactive ligand-receptor interaction;Regulation of actin cytoskeleton;Salivary secretion;Gastric acid secretion;Pancreatic secretion
Q8R519;B9EI97;Q3UNW3	Tryptophan metabolism
P12657;Q52KQ0;Q8BJN3	Calcium signaling pathway;Neuroactive ligand-receptor interaction;Regulation of actin cytoskeleton
P32211;Q64056	Neuroactive ligand-receptor interaction;Regulation of actin cytoskeleton
Q9QYR9;Q3T9C9	Biosynthesis of unsaturated fatty acids
Q9QYR7;Q6Q2Z7	Biosynthesis of unsaturated fatty acids
Q9DBK0;Q544M5;Q8R108	Pyruvate metabolism
Q9R0H0;A2A850;O35616;Q3TDG0;Q8BYC3	Fatty acid metabolism;alpha-Linolenic acid metabolism;Biosynthesis of unsaturated fatty acids;PPAR signaling pathway;Peroxisome
Q8BWN8;Q8BJQ1;Q8BL20;Q9QYR8	Biosynthesis of unsaturated fatty acids
P28271;Q3TQ15;Q99K54	Citrate cycle (TCA cycle);Glyoxylate and dicarboxylate metabolism;Carbon fixation pathways in prokaryotes
Q6Q2Z6;E9QKJ5	Biosynthesis of unsaturated fatty acids
P13516;Q922I6	Biosynthesis of unsaturated fatty acids;PPAR signaling pathway
Q99KI0;Q3UDK9;Q3ULG9;Q3UNH7;Q505P4	Citrate cycle (TCA cycle);Glyoxylate and dicarboxylate metabolism;Carbon fixation pathways in prokaryotes
P58137;Q8VHM4	Peroxisome
Q9CR21;Q9D726;Q9D7V5	Oxidative phosphorylation;Alzheimer's disease;Parkinson's disease;Huntington's disease
Q9QXD1;Q8VCB0	Primary bile acid biosynthesis;PPAR signaling pathway;Peroxisome
Q9EPL9;Q7TPP6;Q80UQ0	Fatty acid metabolism;alpha-Linolenic acid metabolism;Biosynthesis of unsaturated fatty acids;PPAR signaling pathway;Peroxisome
O55137;Q549A9	Biosynthesis of unsaturated fatty acids
Q99NB1;Q8K0M6	Glycolysis / Gluconeogenesis;Pyruvate metabolism;Propanoate metabolism;Methane metabolism;Carbon fixation pathways in prokaryotes
Q9QXG4;Q8BK97	Glycolysis / Gluconeogenesis;Pyruvate metabolism;Propanoate metabolism;Methane metabolism;Carbon fixation pathways in prokaryotes
Q91VA0;Q3UED4	Butanoate metabolism
Q8K0L3;Q3TNC6;Q3US47;Q8R1L3;Q96LX4	Butanoate metabolism
P41216;Q6GTG6;Q9DBK5	Fatty acid metabolism;PPAR signaling pathway;Peroxisome;Adipocytokine signaling pathway
Q3UNX5;Q8BRY2;Q91WI1;Q9Z2F3;Q9Z2X0	Butanoate metabolism
Q9CZW4;Q8K1J7	Fatty acid metabolism;PPAR signaling pathway;Peroxisome;Adipocytokine signaling pathway
Q80W40	Butanoate metabolism
Q8BGA8;Q8BJS0;Q8BM02;Q8BWQ8;Q8BWS7	Butanoate metabolism
Q9QUJ7;Q5D071;Q9JHT4;Q9R0H3	Fatty acid metabolism;PPAR signaling pathway;Peroxisome;Adipocytokine signaling pathway
P62737;P03996;P04108	Vascular smooth muscle contraction
Q14DH7;Q8BZX0	Propanoate metabolism
P63268;P12718	Vascular smooth muscle contraction
P68033;P04270	Cardiac muscle contraction;Hypertrophic cardiomyopathy (HCM);Dilated cardiomyopathy
Q8JZR0	Fatty acid metabolism;PPAR signaling pathway;Peroxisome;Adipocytokine signaling pathway
Q7TPR4	Focal adhesion;Adherens junction;Tight junction;Leukocyte transendothelial migration;Regulation of actin cytoskeleton;Amoebiasis;Systemic lupus erythematosus;Arrhythmogenic right ventricular cardiomyopathy (ARVC)
P63260;P02571;P14104;P99022	Phagosome;Focal adhesion;Adherens junction;Tight junction;Leukocyte transendothelial migration;Phototransduction - fly;Regulation of actin cytoskeleton;Bacterial invasion of epithelial cells;Vibrio cholerae infection;Pathogenic Escherichia coli infection;Shigellosis;Hypertrophic cardiomyopathy (HCM);Arrhythmogenic right ventricular cardiomyopathy (ARVC);Dilated cardiomyopathy;Viral myocarditis
Q91WC3;Q80ZF1	Fatty acid metabolism;PPAR signaling pathway;Peroxisome;Adipocytokine signaling pathway
P60710;P02570;P70514;P99021;Q11211;Q3TI89;Q3TVP6;Q64316;Q6ZWM3	Phagosome;Focal adhesion;Adherens junction;Tight junction;Leukocyte transendothelial migration;Phototransduction - fly;Regulation of actin cytoskeleton;Bacterial invasion of epithelial cells;Vibrio cholerae infection;Pathogenic Escherichia coli infection;Shigellosis;Hypertrophic cardiomyopathy (HCM);Arrhythmogenic right ventricular cardiomyopathy (ARVC);Dilated cardiomyopathy;Viral myocarditis
Q9JI91;G3UW84	Focal adhesion;Adherens junction;Tight junction;Leukocyte transendothelial migration;Regulation of actin cytoskeleton;Amoebiasis;Systemic lupus erythematosus;Arrhythmogenic right ventricular cardiomyopathy (ARVC)
Q64326	Neuroactive ligand-receptor interaction
O88990;Q14DS8	Focal adhesion;Adherens junction;Tight junction;Leukocyte transendothelial migration;Regulation of actin cytoskeleton;Amoebiasis;Systemic lupus erythematosus;Arrhythmogenic right ventricular cardiomyopathy (ARVC)
P57780	Focal adhesion;Adherens junction;Tight junction;Leukocyte transendothelial migration;Regulation of actin cytoskeleton;Amoebiasis;Systemic lupus erythematosus;Arrhythmogenic right ventricular cardiomyopathy (ARVC)
P37172;Q3UDH5;Q91VF1	Cytokine-cytokine receptor interaction;TGF-beta signaling pathway
Q61271	Cytokine-cytokine receptor interaction
Q8R3P0;Q5SV07;Q9D876;Q9DCE2;Q9JIN8	Alanine, aspartate and glutamate metabolism;Histidine metabolism
P56376;Q0VG40;Q545K8;Q6P8S7	Pyruvate metabolism;Aminobenzoate degradation
Q91XE4;Q3UP59;Q9DD17	Alanine, aspartate and glutamate metabolism;Histidine metabolism
P56375;Q5SPV7;Q8BQX2	Pyruvate metabolism;Aminobenzoate degradation
Q99JW2;Q9CR15	Arginine and proline metabolism
Q01338;Q3URE6	Neuroactive ligand-receptor interaction
Q01337	Neuroactive ligand-receptor interaction
P97718;O54913;Q8BV77	Calcium signaling pathway;Neuroactive ligand-receptor interaction;Vascular smooth muscle contraction;Salivary secretion
O35598;B8JJJ0	Alzheimer's disease;Epithelial cell signaling in Helicobacter pylori infection
P30545;F8VQ23	Neuroactive ligand-receptor interaction
